Data from North Dakota Agricultural Weather Network https://ndawn.ndsu.nodak.edu
Weekly Observation Table for January 1 2002
Flag Definition Line: M - Missing; E - Estimated; N/A - Not Available
Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Max Temp,Number Missing,Number Estimated,Min Temp,Number Missing,Number Estimated,Avg Temp,Number Missing,Number Estimated,Avg Bare Soil Temp,Number Missing,Number Estimated,Avg Turf Soil Temp,Number Missing,Number Estimated,Avg Wind Speed,Number Missing,Number Estimated,Max Wind Speed,Number Missing,Number Estimated,Total Solar Rad,Number Missing,Number Estimated,Total Penman PET,Number Missing,Number Estimated,Avg Penman PET,Number Missing,Number Estimated,Total Rainfall,Number Missing,Number Estimated,Avg Dew Point,Number Missing,Number Estimated,Avg Wind Chill,Number Missing,Number Estimated
,deg,deg,ft,,,,Degrees F,,,Degrees F,,,Degrees F,,,Degrees F,,,Degrees F,,,mph,,,mph,,,Lys,,,inch,,,inch,,,inch,,,Degrees F,,,Degrees F,,
Jamestown,46.90669,-98.92778,1636,2002,01,01,27.303,0,0,9.467,0,0,18.3850,0,0,27.933,0,0,29.125,0,0,10.117,0,0,19.901,0,0,122.379,0,0,0.228,0,0,0.033,0,0,,7,0,13.858,0,0,7.459,0,0
Jamestown,46.90669,-98.92778,1636,2002,01,08,39.815,0,0,25.948,0,0,32.8820,0,0,31.238,0,0,31.925,0,0,12.020,0,0,25.020,0,0,124.179,0,0,0.377,0,0,0.054,0,0,,7,0,25.456,0,0,23.226,0,0
Jamestown,46.90669,-98.92778,1636,2002,01,15,23.837,0,0,2.848,0,0,13.3420,0,0,27.270,0,0,29.438,0,0,8.807,0,0,23.074,0,0,147.352,0,0,0.216,0,0,0.031,0,0,,7,0,8.138,0,0,1.728,0,0
Jamestown,46.90669,-98.92778,1636,2002,01,22,21.085,0,0,3.847,0,0,12.4660,0,0,24.517,0,0,27.567,0,0,10.353,0,0,21.334,0,0,145.996,0,0,0.305,0,0,0.044,0,0,,7,0,6.820,0,0,-0.195,0,0
Jamestown,46.90669,-98.92778,1636,2002,01,29,19.566,0,0,-6.088,0,0,6.7390,0,0,23.631,0,0,24.934,0,0,6.618,0,0,17.849,0,0,218.294,0,0,0.217,0,0,0.031,0,0,,7,0,1.558,0,0,-3.079,0,0
Jamestown,46.90669,-98.92778,1636,2002,02,05,39.815,0,0,18.755,0,0,29.2850,0,0,28.266,0,0,28.978,0,0,12.988,0,0,29.885,0,0,215.733,0,0,0.516,0,0,0.074,0,0,,7,0,21.159,0,0,17.898,0,0
Jamestown,46.90669,-98.92778,1636,2002,02,12,44.062,0,0,22.068,0,0,33.0650,0,0,29.992,0,0,30.625,0,0,11.022,0,0,26.813,0,0,218.098,0,0,0.685,0,0,0.098,0,0,,7,0,22.339,0,0,23.121,0,0
Jamestown,46.90669,-98.92778,1636,2002,02,19,37.312,0,0,16.400,0,0,26.8560,0,0,30.637,0,0,30.711,0,0,10.915,0,0,23.229,0,0,261.307,0,0,0.625,0,0,0.089,0,0,,7,0,14.814,0,0,14.566,0,0
Jamestown,46.90669,-98.92778,1636,2002,02,26,16.016,0,0,-4.805,0,0,5.6060,0,0,24.976,0,0,24.355,0,0,10.469,0,0,24.202,0,0,341.199,0,0,0.312,0,0,0.045,0,0,,7,0,-3.352,0,0,-9.252,0,0
Jamestown,46.90669,-98.92778,1636,2002,03,05,14.010,0,0,-2.087,0,0,5.9620,0,0,27.162,0,0,26.626,0,0,10.521,0,0,22.204,0,0,314.463,0,0,0.227,0,0,0.032,0,0,,7,0,0.365,0,0,-7.508,0,0
Jamestown,46.90669,-98.92778,1636,2002,03,12,37.392,0,0,16.581,0,0,26.9870,0,0,30.849,0,0,30.727,0,0,8.757,0,0,20.769,0,0,295.583,0,0,0.568,0,0,0.081,0,0,,7,0,19.406,0,0,18.255,0,0
Jamestown,46.90669,-98.92778,1636,2002,03,19,23.190,0,0,1.932,0,0,12.5620,0,0,28.368,0,0,27.949,0,0,11.334,0,0,23.894,0,0,455.132,0,0,0.484,0,0,0.069,0,0,,7,0,2.808,0,0,-1.677,0,0
Jamestown,46.90669,-98.92778,1636,2002,03,26,43.080,0,0,21.033,0,0,32.0570,0,0,30.620,0,0,30.612,0,0,12.552,0,0,27.888,0,0,376.229,0,0,0.932,0,0,0.133,0,0,0.215,6,1,21.374,0,0,21.516,0,0
Jamestown,46.90669,-98.92778,1636,2002,04,02,35.267,0,0,14.346,0,0,24.8060,0,0,31.730,0,0,31.441,0,0,9.083,0,0,22.152,0,0,443.381,0,0,0.646,0,0,0.092,0,0,0.000,0,3,17.598,0,0,15.144,0,0
Jamestown,46.90669,-98.92778,1636,2002,04,09,63.452,0,0,36.987,0,0,50.2200,0,0,38.818,0,0,32.377,0,0,8.510,0,0,24.047,0,0,409.775,0,0,1.374,0,0,0.196,0,0,0.120,0,0,37.004,0,0,46.621,0,0
Jamestown,46.90669,-98.92778,1636,2002,04,16,54.492,0,0,29.066,0,0,41.7790,0,0,42.137,0,0,34.567,0,0,9.535,0,0,23.021,0,0,371.881,0,0,1.053,0,0,0.150,0,0,0.580,0,0,31.715,0,0,34.421,0,0
Jamestown,46.90669,-98.92778,1636,2002,04,23,49.901,0,0,28.787,0,0,39.3440,0,0,40.271,0,0,34.642,0,0,13.068,0,0,31.882,0,0,424.141,0,0,1.247,0,0,0.178,0,0,0.240,0,0,26.269,0,0,30.756,0,0
Jamestown,46.90669,-98.92778,1636,2002,04,30,54.317,0,0,29.062,0,0,41.6900,0,0,44.204,0,0,38.109,0,0,10.980,0,0,26.607,0,0,514.164,0,0,1.567,0,0,0.224,0,0,0.060,0,1,25.572,0,0,34.015,0,0
Jamestown,46.90669,-98.92778,1636,2002,05,07,53.713,0,0,33.815,0,0,43.7650,0,0,43.313,0,0,39.145,0,0,10.678,0,0,25.840,0,0,418.568,0,0,1.257,0,0,0.180,0,0,0.597,0,3,31.977,0,0,38.237,0,0
Jamestown,46.90669,-98.92778,1636,2002,05,14,61.448,0,0,29.725,0,0,45.5870,0,0,49.386,0,0,43.726,0,0,10.041,0,0,25.277,0,0,700.130,0,0,2.082,0,0,0.297,0,0,0.010,0,0,27.656,0,0,43.381,0,0
Jamestown,46.90669,-98.92778,1636,2002,05,21,69.458,0,0,36.759,0,0,53.1090,0,0,51.391,0,0,46.791,0,0,12.339,0,0,27.683,0,0,590.220,0,0,2.228,0,0,0.318,0,0,0.000,0,0,34.143,0,0,52.711,0,0
Jamestown,46.90669,-98.92778,1636,2002,05,28,78.185,0,0,52.975,0,0,65.5800,0,0,58.836,0,0,53.936,0,0,9.216,0,0,24.662,0,0,537.192,0,0,2.374,0,0,0.339,0,0,0.060,0,0,42.833,0,0,65.909,0,0
Jamestown,46.90669,-98.92778,1636,2002,06,04,75.159,0,0,49.681,0,0,62.4200,0,0,58.830,0,0,55.085,0,0,8.435,0,0,23.382,0,0,394.673,0,0,1.585,0,0,0.226,0,0,0.350,0,0,49.788,0,0,62.908,0,0
Jamestown,46.90669,-98.92778,1636,2002,06,11,76.969,0,0,49.322,0,0,63.1460,0,0,60.358,0,0,57.005,0,0,9.459,0,0,23.894,0,0,641.066,0,0,2.274,0,0,0.325,0,0,0.040,0,0,45.707,0,0,62.964,0,0
Jamestown,46.90669,-98.92778,1636,2002,06,18,81.281,0,0,58.504,0,0,69.8930,0,0,65.811,0,0,61.709,0,0,9.320,0,0,25.635,0,0,546.617,0,0,1.888,0,0,0.270,0,0,1.430,0,0,59.107,0,0,69.265,0,0
Jamestown,46.90669,-98.92778,1636,2002,06,25,90.238,0,0,61.247,0,0,75.7430,0,0,71.560,0,0,66.885,0,0,8.786,0,0,24.815,0,0,691.105,0,0,2.721,0,0,0.389,0,0,0.010,0,0,59.435,0,0,76.897,0,0
Jamestown,46.90669,-98.92778,1636,2002,07,02,83.742,0,0,60.749,0,0,72.2450,0,0,70.175,0,0,66.255,0,0,7.855,0,0,20.156,0,0,525.926,0,0,1.940,0,0,0.277,0,0,1.460,0,0,58.002,0,0,72.331,0,0
Jamestown,46.90669,-98.92778,1636,2002,07,09,82.292,0,0,56.729,0,0,69.5110,0,0,69.851,0,0,66.579,0,0,7.558,0,0,20.717,0,0,555.154,0,0,1.752,0,0,0.250,0,0,0.440,0,0,61.135,0,0,69.573,0,0
Jamestown,46.90669,-98.92778,1636,2002,07,16,83.668,0,0,61.926,0,0,72.7970,0,0,73.507,0,0,69.581,0,0,7.394,0,0,21.385,0,0,515.382,0,0,1.651,0,0,0.236,0,0,1.590,0,0,64.764,0,0,73.067,0,0
Jamestown,46.90669,-98.92778,1636,2002,07,23,80.916,0,0,56.578,0,0,68.7470,0,0,68.915,0,0,66.554,0,0,6.295,0,0,22.663,0,0,491.703,0,0,1.494,0,0,0.213,0,0,1.430,0,0,60.921,0,0,68.381,0,0
Jamestown,46.90669,-98.92778,1636,2002,07,30,77.465,0,0,53.720,0,0,65.5930,0,0,69.761,0,0,66.594,0,0,8.175,0,0,22.922,0,0,602.478,0,0,1.789,0,0,0.256,0,0,0.700,0,0,56.009,0,0,65.621,0,0
Jamestown,46.90669,-98.92778,1636,2002,08,06,80.312,0,0,58.342,0,0,69.3270,0,0,68.760,0,0,66.611,0,0,10.459,0,0,29.578,0,0,424.975,0,0,1.541,0,0,0.220,0,0,0.360,0,0,60.957,0,0,68.266,0,0
Jamestown,46.90669,-98.92778,1636,2002,08,13,72.868,0,0,46.791,0,0,59.8300,0,0,62.178,0,0,62.045,0,0,9.514,0,0,25.225,0,0,456.531,0,0,1.603,0,0,0.229,0,0,0.330,0,0,48.910,0,0,60.168,0,0
Jamestown,46.90669,-98.92778,1636,2002,08,20,80.582,0,0,55.302,0,0,67.9420,0,0,65.711,0,0,62.868,0,0,6.068,0,0,17.030,0,0,389.412,0,0,1.197,0,0,0.171,0,0,0.030,0,0,60.487,0,0,67.643,0,0
Jamestown,46.90669,-98.92778,1636,2002,08,27,81.677,0,0,58.208,0,0,69.9430,0,0,69.651,0,0,65.870,0,0,8.297,0,0,27.529,0,0,446.840,0,0,1.426,0,0,0.204,0,0,2.050,0,0,61.902,0,0,69.656,0,0
Jamestown,46.90669,-98.92778,1636,2002,09,03,83.562,0,0,57.403,0,0,70.4830,0,0,68.842,0,0,65.445,0,0,7.303,0,0,20.155,0,0,398.223,0,0,1.406,0,0,0.201,0,0,0.530,0,0,60.861,0,0,69.086,0,0
Jamestown,46.90669,-98.92778,1636,2002,09,10,77.152,0,0,48.142,0,0,62.6470,0,0,63.399,0,0,61.689,0,0,7.394,0,0,20.156,0,0,461.571,0,0,1.529,0,0,0.218,0,0,0.000,0,0,50.248,0,0,62.101,0,0
Jamestown,46.90669,-98.92778,1636,2002,09,17,66.593,0,0,42.825,0,0,54.7090,0,0,58.420,0,0,58.425,0,0,11.265,0,0,29.219,0,0,361.671,0,0,1.426,0,0,0.204,0,0,0.150,0,0,41.701,0,0,52.091,0,0
Jamestown,46.90669,-98.92778,1636,2002,09,24,62.793,0,0,35.202,0,0,48.9970,0,0,52.086,0,0,52.351,0,0,7.663,0,0,21.437,0,0,292.766,0,0,0.960,0,0,0.137,0,0,0.010,0,0,37.136,0,0,45.331,0,0
Jamestown,46.90669,-98.92778,1636,2002,10,01,49.899,0,0,31.159,0,0,40.5290,0,0,47.696,0,0,49.475,0,0,8.477,0,0,21.487,0,0,228.511,0,0,0.653,0,0,0.093,0,0,0.740,0,0,32.347,0,0,35.709,0,0
Jamestown,46.90669,-98.92778,1636,2002,10,08,55.395,0,0,28.005,0,0,41.7010,0,0,45.105,0,0,46.941,0,0,10.436,0,0,27.581,0,0,300.158,0,0,0.846,0,0,0.121,0,0,0.120,0,0,33.212,0,0,36.128,0,0
Jamestown,46.90669,-98.92778,1636,2002,10,15,38.866,0,0,24.129,0,0,31.4970,0,0,39.468,0,0,42.514,0,0,7.266,0,0,17.492,0,0,168.548,0,0,0.300,0,0,0.043,0,0,0.120,0,0,25.674,0,0,24.203,0,0
Jamestown,46.90669,-98.92778,1636,2002,10,22,35.581,0,0,23.593,0,0,29.5870,0,0,35.254,0,0,38.743,0,0,6.707,0,0,16.366,0,0,110.497,0,0,0.221,0,0,0.032,0,0,0.150,0,0,23.874,0,0,22.670,0,0
Jamestown,46.90669,-98.92778,1636,2002,10,29,33.820,0,0,16.251,0,0,25.0360,0,0,32.895,0,0,35.918,0,0,11.454,0,0,23.843,0,0,205.732,0,0,0.400,0,0,0.057,0,0,0.000,4,1,17.918,0,0,13.384,0,0
